,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
157,2013-12-02 03:00:00,Adversity,ToU,280,0.187605888357
158,2013-12-02 03:00:00,Affluent,Std,1526,0.317239650603
159,2013-12-02 03:00:00,Affluent,ToU,457,0.270117310436
160,2013-12-02 03:00:00,Comfortable,Std,1112,0.280271895067
161,2013-12-02 03:00:00,Comfortable,ToU,298,0.18431775948
162,2013-12-02 04:00:00,Adversity,Std,1405,0.213627465844
163,2013-12-02 04:00:00,Adversity,ToU,280,0.179400514763
164,2013-12-02 04:00:00,Affluent,Std,1526,0.31132143594
165,2013-12-02 04:00:00,Affluent,ToU,457,0.277714162063
166,2013-12-02 04:00:00,Comfortable,Std,1112,0.241236322626
167,2013-12-02 04:00:00,Comfortable,ToU,298,0.188569477408
168,2013-12-02 05:00:00,Adversity,Std,1405,0.206283587577
169,2013-12-02 05:00:00,Adversity,ToU,280,0.172265474803
170,2013-12-02 05:00:00,Affluent,Std,1526,0.306686224737
171,2013-12-02 05:00:00,Affluent,ToU,457,0.283881634101
172,2013-12-02 05:00:00,Comfortable,Std,1112,0.240875717539
173,2013-12-02 05:00:00,Comfortable,ToU,298,0.192628409173
174,2013-12-02 06:00:00,Adversity,Std,1405,0.234229170886
175,2013-12-02 06:00:00,Adversity,ToU,280,0.217749900993
176,2013-12-02 06:00:00,Affluent,Std,1526,0.341026523579
177,2013-12-02 06:00:00,Affluent,ToU,457,0.294928217937
178,2013-12-02 06:00:00,Comfortable,Std,1112,0.278852395053
179,2013-12-02 06:00:00,Comfortable,ToU,298,0.220640124232
180,2013-12-02 07:00:00,Adversity,Std,1405,0.311025604834
181,2013-12-02 07:00:00,Adversity,ToU,280,0.316823317456
182,2013-12-02 07:00:00,Affluent,Std,1526,0.450594034508
183,2013-12-02 07:00:00,Affluent,ToU,457,0.50570945615
184,2013-12-02 07:00:00,Comfortable,Std,1112,0.367560619778
185,2013-12-02 07:00:00,Comfortable,ToU,298,0.317824001204
186,2013-12-02 08:00:00,Adversity,Std,1405,0.381886575068
