,LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
24639,MAC000303,ToU,2013-07-03 18:00:00.0000000, 0.196 ,ACORN-L,Adversity
24640,MAC000303,ToU,2013-07-03 18:30:00.0000000, 0.13 ,ACORN-L,Adversity
24641,MAC000303,ToU,2013-07-03 19:00:00.0000000, 0.208 ,ACORN-L,Adversity
24642,MAC000303,ToU,2013-07-03 19:30:00.0000000, 0.138 ,ACORN-L,Adversity
24643,MAC000303,ToU,2013-07-03 20:00:00.0000000, 0.147 ,ACORN-L,Adversity
24644,MAC000303,ToU,2013-07-03 20:30:00.0000000, 0.208 ,ACORN-L,Adversity
24645,MAC000303,ToU,2013-07-03 21:00:00.0000000, 0.189 ,ACORN-L,Adversity
24646,MAC000303,ToU,2013-07-03 21:30:00.0000000, 0.168 ,ACORN-L,Adversity
24647,MAC000303,ToU,2013-07-03 22:00:00.0000000, 0.103 ,ACORN-L,Adversity
24648,MAC000303,ToU,2013-07-03 22:30:00.0000000, 0.058 ,ACORN-L,Adversity
24649,MAC000303,ToU,2013-07-03 23:00:00.0000000, 0.033 ,ACORN-L,Adversity
24650,MAC000303,ToU,2013-07-03 23:30:00.0000000, 0.042 ,ACORN-L,Adversity
24651,MAC000303,ToU,2013-07-04 00:00:00.0000000, 0.037 ,ACORN-L,Adversity
24652,MAC000303,ToU,2013-07-04 00:30:00.0000000, 0.037 ,ACORN-L,Adversity
24653,MAC000303,ToU,2013-07-04 01:00:00.0000000, 0.046 ,ACORN-L,Adversity
24654,MAC000303,ToU,2013-07-04 01:30:00.0000000, 0.032 ,ACORN-L,Adversity
24655,MAC000303,ToU,2013-07-04 02:00:00.0000000, 0.046 ,ACORN-L,Adversity
24656,MAC000303,ToU,2013-07-04 02:30:00.0000000, 0.04 ,ACORN-L,Adversity
24657,MAC000303,ToU,2013-07-04 03:00:00.0000000, 0.042 ,ACORN-L,Adversity
24658,MAC000303,ToU,2013-07-04 03:30:00.0000000, 0.042 ,ACORN-L,Adversity
24659,MAC000303,ToU,2013-07-04 04:00:00.0000000, 0.036 ,ACORN-L,Adversity
24660,MAC000303,ToU,2013-07-04 04:30:00.0000000, 0.049 ,ACORN-L,Adversity
24661,MAC000303,ToU,2013-07-04 05:00:00.0000000, 0.033 ,ACORN-L,Adversity
24662,MAC000303,ToU,2013-07-04 05:30:00.0000000, 0.046 ,ACORN-L,Adversity
24663,MAC000303,ToU,2013-07-04 06:00:00.0000000, 0.083 ,ACORN-L,Adversity
24664,MAC000303,ToU,2013-07-04 06:30:00.0000000, 0.046 ,ACORN-L,Adversity
24665,MAC000303,ToU,2013-07-04 07:00:00.0000000, 0.12 ,ACORN-L,Adversity
24666,MAC000303,ToU,2013-07-04 07:30:00.0000000, 0.066 ,ACORN-L,Adversity
24667,MAC000303,ToU,2013-07-04 08:00:00.0000000, 0.071 ,ACORN-L,Adversity
24668,MAC000303,ToU,2013-07-04 08:30:00.0000000, 0.085 ,ACORN-L,Adversity
24669,MAC000303,ToU,2013-07-04 09:00:00.0000000, 0.044 ,ACORN-L,Adversity
24670,MAC000303,ToU,2013-07-04 09:30:00.0000000, 0.031 ,ACORN-L,Adversity
24671,MAC000303,ToU,2013-07-04 10:00:00.0000000, 0.037 ,ACORN-L,Adversity
24672,MAC000303,ToU,2013-07-04 10:30:00.0000000, 0.143 ,ACORN-L,Adversity
24673,MAC000303,ToU,2013-07-04 11:00:00.0000000, 0.063 ,ACORN-L,Adversity
24674,MAC000303,ToU,2013-07-04 11:30:00.0000000, 0.117 ,ACORN-L,Adversity
24675,MAC000303,ToU,2013-07-04 12:00:00.0000000, 0.282 ,ACORN-L,Adversity
24676,MAC000303,ToU,2013-07-04 12:30:00.0000000, 0.08 ,ACORN-L,Adversity
24677,MAC000303,ToU,2013-07-04 13:00:00.0000000, 0.074 ,ACORN-L,Adversity
24678,MAC000303,ToU,2013-07-04 13:30:00.0000000, 0.129 ,ACORN-L,Adversity
24679,MAC000303,ToU,2013-07-04 14:00:00.0000000, 0.115 ,ACORN-L,Adversity
24680,MAC000303,ToU,2013-07-04 14:30:00.0000000, 0.204 ,ACORN-L,Adversity
24681,MAC000303,ToU,2013-07-04 15:00:00.0000000, 0.189 ,ACORN-L,Adversity
24682,MAC000303,ToU,2013-07-04 15:30:00.0000000, 0.118 ,ACORN-L,Adversity
24683,MAC000303,ToU,2013-07-04 16:00:00.0000000, 0.168 ,ACORN-L,Adversity
24684,MAC000303,ToU,2013-07-04 16:30:00.0000000, 0.072 ,ACORN-L,Adversity
24685,MAC000303,ToU,2013-07-04 17:00:00.0000000, 0.042 ,ACORN-L,Adversity
24686,MAC000303,ToU,2013-07-04 17:30:00.0000000, 0.615 ,ACORN-L,Adversity
24687,MAC000303,ToU,2013-07-04 18:00:00.0000000, 0.112 ,ACORN-L,Adversity
24688,MAC000303,ToU,2013-07-04 18:30:00.0000000, 0.126 ,ACORN-L,Adversity
24689,MAC000303,ToU,2013-07-04 19:00:00.0000000, 0.2 ,ACORN-L,Adversity
24690,MAC000303,ToU,2013-07-04 19:30:00.0000000, 0.132 ,ACORN-L,Adversity
24691,MAC000303,ToU,2013-07-04 20:00:00.0000000, 0.144 ,ACORN-L,Adversity
24692,MAC000303,ToU,2013-07-04 20:30:00.0000000, 0.184 ,ACORN-L,Adversity
24693,MAC000303,ToU,2013-07-04 21:00:00.0000000, 0.196 ,ACORN-L,Adversity
24694,MAC000303,ToU,2013-07-04 21:30:00.0000000, 0.305 ,ACORN-L,Adversity
24695,MAC000303,ToU,2013-07-04 22:00:00.0000000, 0.159 ,ACORN-L,Adversity
24696,MAC000303,ToU,2013-07-04 22:30:00.0000000, 0.099 ,ACORN-L,Adversity
24697,MAC000303,ToU,2013-07-04 23:00:00.0000000, 0.04 ,ACORN-L,Adversity
24698,MAC000303,ToU,2013-07-04 23:30:00.0000000, 0.031 ,ACORN-L,Adversity
24699,MAC000303,ToU,2013-07-05 00:00:00.0000000, 0.041 ,ACORN-L,Adversity
24700,MAC000303,ToU,2013-07-05 00:30:00.0000000, 0.037 ,ACORN-L,Adversity
24701,MAC000303,ToU,2013-07-05 01:00:00.0000000, 0.037 ,ACORN-L,Adversity
24702,MAC000303,ToU,2013-07-05 01:30:00.0000000, 0.042 ,ACORN-L,Adversity
24703,MAC000303,ToU,2013-07-05 02:00:00.0000000, 0.032 ,ACORN-L,Adversity
24704,MAC000303,ToU,2013-07-05 02:30:00.0000000, 0.038 ,ACORN-L,Adversity
24705,MAC000303,ToU,2013-07-05 03:00:00.0000000, 0.04 ,ACORN-L,Adversity
24706,MAC000303,ToU,2013-07-05 03:30:00.0000000, 0.031 ,ACORN-L,Adversity
24707,MAC000303,ToU,2013-07-05 04:00:00.0000000, 0.041 ,ACORN-L,Adversity
24708,MAC000303,ToU,2013-07-05 04:30:00.0000000, 0.033 ,ACORN-L,Adversity
24709,MAC000303,ToU,2013-07-05 05:00:00.0000000, 0.037 ,ACORN-L,Adversity
24710,MAC000303,ToU,2013-07-05 05:30:00.0000000, 0.129 ,ACORN-L,Adversity
24711,MAC000303,ToU,2013-07-05 06:00:00.0000000, 0.461 ,ACORN-L,Adversity
24712,MAC000303,ToU,2013-07-05 06:30:00.0000000, 0.288 ,ACORN-L,Adversity
24713,MAC000303,ToU,2013-07-05 07:00:00.0000000, 0.153 ,ACORN-L,Adversity
24714,MAC000303,ToU,2013-07-05 07:30:00.0000000, 0.04 ,ACORN-L,Adversity
24715,MAC000303,ToU,2013-07-05 08:00:00.0000000, 0.094 ,ACORN-L,Adversity
24716,MAC000303,ToU,2013-07-05 08:30:00.0000000, 0.047 ,ACORN-L,Adversity
24717,MAC000303,ToU,2013-07-05 09:00:00.0000000, 0.041 ,ACORN-L,Adversity
24718,MAC000303,ToU,2013-07-05 09:30:00.0000000, 0.034 ,ACORN-L,Adversity
24719,MAC000303,ToU,2013-07-05 10:00:00.0000000, 0.036 ,ACORN-L,Adversity
24720,MAC000303,ToU,2013-07-05 10:30:00.0000000, 0.177 ,ACORN-L,Adversity
24721,MAC000303,ToU,2013-07-05 11:00:00.0000000, 0.046 ,ACORN-L,Adversity
24722,MAC000303,ToU,2013-07-05 11:30:00.0000000, 0.753 ,ACORN-L,Adversity
24723,MAC000303,ToU,2013-07-05 12:00:00.0000000, 0.346 ,ACORN-L,Adversity
24724,MAC000303,ToU,2013-07-05 12:30:00.0000000, 0.06 ,ACORN-L,Adversity
24725,MAC000303,ToU,2013-07-05 13:00:00.0000000, 0.046 ,ACORN-L,Adversity
24726,MAC000303,ToU,2013-07-05 13:30:00.0000000, 0.123 ,ACORN-L,Adversity
24727,MAC000303,ToU,2013-07-05 14:00:00.0000000, 0.04 ,ACORN-L,Adversity
24728,MAC000303,ToU,2013-07-05 14:30:00.0000000, 0.043 ,ACORN-L,Adversity
24729,MAC000303,ToU,2013-07-05 15:00:00.0000000, 0.037 ,ACORN-L,Adversity
24730,MAC000303,ToU,2013-07-05 15:30:00.0000000, 0.044 ,ACORN-L,Adversity
24731,MAC000303,ToU,2013-07-05 16:00:00.0000000, 0.094 ,ACORN-L,Adversity
24732,MAC000303,ToU,2013-07-05 16:30:00.0000000, 0.289 ,ACORN-L,Adversity
24733,MAC000303,ToU,2013-07-05 17:00:00.0000000, 0.15 ,ACORN-L,Adversity
24734,MAC000303,ToU,2013-07-05 17:30:00.0000000, 0.125 ,ACORN-L,Adversity
24735,MAC000303,ToU,2013-07-05 18:00:00.0000000, 0.119 ,ACORN-L,Adversity
24736,MAC000303,ToU,2013-07-05 18:30:00.0000000, 0.128 ,ACORN-L,Adversity
24737,MAC000303,ToU,2013-07-05 19:00:00.0000000, 0.22 ,ACORN-L,Adversity
24738,MAC000303,ToU,2013-07-05 19:30:00.0000000, 0.125 ,ACORN-L,Adversity
24739,MAC000303,ToU,2013-07-05 20:00:00.0000000, 0.135 ,ACORN-L,Adversity
24740,MAC000303,ToU,2013-07-05 20:30:00.0000000, 0.176 ,ACORN-L,Adversity
24741,MAC000303,ToU,2013-07-05 21:00:00.0000000, 0.174 ,ACORN-L,Adversity
24742,MAC000303,ToU,2013-07-05 21:30:00.0000000, 0.164 ,ACORN-L,Adversity
24743,MAC000303,ToU,2013-07-05 22:00:00.0000000, 0.139 ,ACORN-L,Adversity
24744,MAC000303,ToU,2013-07-05 22:30:00.0000000, 0.06 ,ACORN-L,Adversity
24745,MAC000303,ToU,2013-07-05 23:00:00.0000000, 0.037 ,ACORN-L,Adversity
24746,MAC000303,ToU,2013-07-05 23:30:00.0000000, 0.034 ,ACORN-L,Adversity
24747,MAC000303,ToU,2013-07-06 00:00:00.0000000, 0.041 ,ACORN-L,Adversity
24748,MAC000303,ToU,2013-07-06 00:30:00.0000000, 0.035 ,ACORN-L,Adversity
24749,MAC000303,ToU,2013-07-06 01:00:00.0000000, 0.042 ,ACORN-L,Adversity
24750,MAC000303,ToU,2013-07-06 01:30:00.0000000, 0.042 ,ACORN-L,Adversity
24751,MAC000303,ToU,2013-07-06 02:00:00.0000000, 0.032 ,ACORN-L,Adversity
24752,MAC000303,ToU,2013-07-06 02:30:00.0000000, 0.04 ,ACORN-L,Adversity
24753,MAC000303,ToU,2013-07-06 03:00:00.0000000, 0.038 ,ACORN-L,Adversity
24754,MAC000303,ToU,2013-07-06 03:30:00.0000000, 0.032 ,ACORN-L,Adversity
24755,MAC000303,ToU,2013-07-06 04:00:00.0000000, 0.042 ,ACORN-L,Adversity
24756,MAC000303,ToU,2013-07-06 04:30:00.0000000, 0.033 ,ACORN-L,Adversity
24757,MAC000303,ToU,2013-07-06 05:00:00.0000000, 0.037 ,ACORN-L,Adversity
24758,MAC000303,ToU,2013-07-06 05:30:00.0000000, 0.044 ,ACORN-L,Adversity
24759,MAC000303,ToU,2013-07-06 06:00:00.0000000, 0.08 ,ACORN-L,Adversity
24760,MAC000303,ToU,2013-07-06 06:30:00.0000000, 0.202 ,ACORN-L,Adversity
24761,MAC000303,ToU,2013-07-06 07:00:00.0000000, 0.069 ,ACORN-L,Adversity
24762,MAC000303,ToU,2013-07-06 07:30:00.0000000, 0.035 ,ACORN-L,Adversity
24763,MAC000303,ToU,2013-07-06 08:00:00.0000000, 0.142 ,ACORN-L,Adversity
24764,MAC000303,ToU,2013-07-06 08:30:00.0000000, 0.032 ,ACORN-L,Adversity
24765,MAC000303,ToU,2013-07-06 09:00:00.0000000, 0.036 ,ACORN-L,Adversity
24766,MAC000303,ToU,2013-07-06 09:30:00.0000000, 0.042 ,ACORN-L,Adversity
24767,MAC000303,ToU,2013-07-06 10:00:00.0000000, 0.027 ,ACORN-L,Adversity
24768,MAC000303,ToU,2013-07-06 10:30:00.0000000, 0.037 ,ACORN-L,Adversity
24769,MAC000303,ToU,2013-07-06 11:00:00.0000000, 0.034 ,ACORN-L,Adversity
24770,MAC000303,ToU,2013-07-06 11:30:00.0000000, 0.032 ,ACORN-L,Adversity
24771,MAC000303,ToU,2013-07-06 12:00:00.0000000, 0.038 ,ACORN-L,Adversity
