DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-01 21:00:00,Comfortable,Std,31,0.924055555556
2011-12-01 21:00:00,Comfortable,ToU,4,0.623333333334
2011-12-01 22:00:00,Adversity,Std,20,0.574216668333
2011-12-01 22:00:00,Adversity,ToU,4,0.4785
2011-12-01 22:00:00,Affluent,Std,27,0.874923076923
2011-12-01 22:00:00,Affluent,ToU,6,0.727375
2011-12-01 22:00:00,Comfortable,Std,31,0.870199074075
2011-12-01 22:00:00,Comfortable,ToU,4,0.6845
2011-12-01 23:00:00,Adversity,Std,20,0.851275
2011-12-01 23:00:00,Adversity,ToU,4,0.643333333333
2011-12-01 23:00:00,Affluent,Std,27,0.697288461538
2011-12-01 23:00:00,Affluent,ToU,6,0.556625
2011-12-01 23:00:00,Comfortable,Std,31,1.02558335833
2011-12-01 23:00:00,Comfortable,ToU,4,0.622666666667
2011-12-02 00:00:00,Adversity,Std,20,0.772283333333
2011-12-02 00:00:00,Adversity,ToU,4,0.501166666667
2011-12-02 00:00:00,Affluent,Std,27,0.821250000001
2011-12-02 00:00:00,Affluent,ToU,6,0.3815
2011-12-02 00:00:00,Comfortable,Std,31,0.612731481482
2011-12-02 00:00:00,Comfortable,ToU,4,0.653333333333
2011-12-02 01:00:00,Adversity,Std,20,0.488766666667
2011-12-02 01:00:00,Adversity,ToU,4,0.2605
2011-12-02 01:00:00,Affluent,Std,27,0.790788463461
2011-12-02 01:00:00,Affluent,ToU,6,0.203625
2011-12-02 01:00:00,Comfortable,Std,31,0.475041666666
2011-12-02 01:00:00,Comfortable,ToU,4,0.397333333333
2011-12-02 02:00:00,Adversity,Std,20,0.287683333333
2011-12-02 02:00:00,Adversity,ToU,4,0.3025
2011-12-02 02:00:00,Affluent,Std,27,0.661096153846
2011-12-02 02:00:00,Affluent,ToU,6,0.196125
2011-12-02 02:00:00,Comfortable,Std,31,0.377671296296
2011-12-02 02:00:00,Comfortable,ToU,4,0.314500000001
2011-12-02 03:00:00,Adversity,Std,20,0.23745
2011-12-02 03:00:00,Adversity,ToU,4,0.261
2011-12-02 03:00:00,Affluent,Std,27,0.483230769231
2011-12-02 03:00:00,Affluent,ToU,6,0.190625
2011-12-02 03:00:00,Comfortable,Std,31,0.371532407408
2011-12-02 03:00:00,Comfortable,ToU,4,0.382833333333
2011-12-02 04:00:00,Adversity,Std,20,0.212691666667
2011-12-02 04:00:00,Adversity,ToU,4,0.64
2011-12-02 04:00:00,Affluent,Std,27,0.458288461539
2011-12-02 04:00:00,Affluent,ToU,6,0.18775
2011-12-02 04:00:00,Comfortable,Std,31,0.237148148148
2011-12-02 04:00:00,Comfortable,ToU,4,0.208833333333
2011-12-02 05:00:00,Adversity,Std,20,0.191066666667
2011-12-02 05:00:00,Adversity,ToU,4,0.724333333333
2011-12-02 05:00:00,Affluent,Std,27,0.444692307693
2011-12-02 05:00:00,Affluent,ToU,6,0.165
