,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
173,2012-12-02 04:00:00,Comfortable,ToU,322,0.240694510166
174,2012-12-02 05:00:00,Adversity,Std,1507,0.248504663583
175,2012-12-02 05:00:00,Adversity,ToU,296,0.17743787014
176,2012-12-02 05:00:00,Affluent,Std,1692,0.351364455988
177,2012-12-02 05:00:00,Affluent,ToU,486,0.328722923834
178,2012-12-02 05:00:00,Comfortable,Std,1174,0.297300911651
179,2012-12-02 05:00:00,Comfortable,ToU,322,0.239481827937
180,2012-12-02 06:00:00,Adversity,Std,1507,0.264388537622
181,2012-12-02 06:00:00,Adversity,ToU,296,0.183517895918
182,2012-12-02 06:00:00,Affluent,Std,1692,0.373621790653
183,2012-12-02 06:00:00,Affluent,ToU,486,0.347320554515
184,2012-12-02 06:00:00,Comfortable,Std,1174,0.3105310826
185,2012-12-02 06:00:00,Comfortable,ToU,322,0.265548921463
186,2012-12-02 07:00:00,Adversity,Std,1507,0.304545134456
187,2012-12-02 07:00:00,Adversity,ToU,296,0.20884971717
188,2012-12-02 07:00:00,Affluent,Std,1692,0.443828276515
189,2012-12-02 07:00:00,Affluent,ToU,486,0.424168139175
190,2012-12-02 07:00:00,Comfortable,Std,1174,0.35927147416
191,2012-12-02 07:00:00,Comfortable,ToU,322,0.281965744145
192,2012-12-02 08:00:00,Adversity,Std,1507,0.32598923307
193,2012-12-02 08:00:00,Adversity,ToU,296,0.324604479734
194,2012-12-02 08:00:00,Affluent,Std,1692,0.554533715039
195,2012-12-02 08:00:00,Affluent,ToU,486,0.524794219591
196,2012-12-02 08:00:00,Comfortable,Std,1174,0.454565119126
197,2012-12-02 08:00:00,Comfortable,ToU,322,0.366484862508
198,2012-12-02 09:00:00,Adversity,Std,1507,0.426218781634
199,2012-12-02 09:00:00,Adversity,ToU,296,0.471893041004
200,2012-12-02 09:00:00,Affluent,Std,1692,0.746094181263
201,2012-12-02 09:00:00,Affluent,ToU,486,0.764558008101
202,2012-12-02 09:00:00,Comfortable,Std,1174,0.555174861133
203,2012-12-02 09:00:00,Comfortable,ToU,322,0.507979858278
204,2012-12-02 10:00:00,Adversity,Std,1506,0.505773532519
205,2012-12-02 10:00:00,Adversity,ToU,296,0.521394159724
206,2012-12-02 10:00:00,Affluent,Std,1692,0.82404421103
207,2012-12-02 10:00:00,Affluent,ToU,486,0.970178538669
208,2012-12-02 10:00:00,Comfortable,Std,1174,0.649219057886
209,2012-12-02 10:00:00,Comfortable,ToU,322,0.517245464121
210,2012-12-02 11:00:00,Adversity,Std,1507,0.51854285542
211,2012-12-02 11:00:00,Adversity,ToU,296,0.542418767421
212,2012-12-02 11:00:00,Affluent,Std,1692,0.840804343816
213,2012-12-02 11:00:00,Affluent,ToU,486,0.793886235431
214,2012-12-02 11:00:00,Comfortable,Std,1174,0.647101686523
215,2012-12-02 11:00:00,Comfortable,ToU,322,0.548588398239
216,2012-12-02 12:00:00,Adversity,Std,1507,0.512878773751
217,2012-12-02 12:00:00,Adversity,ToU,296,0.569605853268
218,2012-12-02 12:00:00,Affluent,Std,1692,0.846416672756
219,2012-12-02 12:00:00,Affluent,ToU,486,0.708964227558
220,2012-12-02 12:00:00,Comfortable,Std,1174,0.657283026422
221,2012-12-02 12:00:00,Comfortable,ToU,322,0.565701753694
222,2012-12-02 13:00:00,Adversity,Std,1507,0.556654905386
223,2012-12-02 13:00:00,Adversity,ToU,296,0.521800876671
224,2012-12-02 13:00:00,Affluent,Std,1692,0.830950082208
225,2012-12-02 13:00:00,Affluent,ToU,486,0.874283353055
226,2012-12-02 13:00:00,Comfortable,Std,1174,0.671034856714
227,2012-12-02 13:00:00,Comfortable,ToU,322,0.640308038582
228,2012-12-02 14:00:00,Adversity,Std,1507,0.544627824641
229,2012-12-02 14:00:00,Adversity,ToU,296,0.569225563115
230,2012-12-02 14:00:00,Affluent,Std,1692,0.801306747027
231,2012-12-02 14:00:00,Affluent,ToU,486,0.761237202386
232,2012-12-02 14:00:00,Comfortable,Std,1174,0.633137568378
233,2012-12-02 14:00:00,Comfortable,ToU,322,0.602806096555
234,2012-12-02 15:00:00,Adversity,Std,1507,0.528503151331
235,2012-12-02 15:00:00,Adversity,ToU,296,0.506743442794
236,2012-12-02 15:00:00,Affluent,Std,1692,0.81615034102
237,2012-12-02 15:00:00,Affluent,ToU,486,0.749920512739
238,2012-12-02 15:00:00,Comfortable,Std,1174,0.660890027875
239,2012-12-02 15:00:00,Comfortable,ToU,322,0.621478461617
240,2012-12-02 16:00:00,Adversity,Std,1507,0.579914059323
241,2012-12-02 16:00:00,Adversity,ToU,296,0.636832181687
242,2012-12-02 16:00:00,Affluent,Std,1692,0.887864232204
243,2012-12-02 16:00:00,Affluent,ToU,486,0.834712224478
244,2012-12-02 16:00:00,Comfortable,Std,1174,0.701446838991
245,2012-12-02 16:00:00,Comfortable,ToU,322,0.636919848559
246,2012-12-02 17:00:00,Adversity,Std,1507,0.689486308525
247,2012-12-02 17:00:00,Adversity,ToU,296,0.732307431713
248,2012-12-02 17:00:00,Affluent,Std,1692,1.07907345148
249,2012-12-02 17:00:00,Affluent,ToU,486,1.02885853841
250,2012-12-02 17:00:00,Comfortable,Std,1174,0.879245152696
251,2012-12-02 17:00:00,Comfortable,ToU,322,0.703887785407
252,2012-12-02 18:00:00,Adversity,Std,1507,0.720192876356
253,2012-12-02 18:00:00,Adversity,ToU,296,0.78330723211
254,2012-12-02 18:00:00,Affluent,Std,1692,1.25101742279
255,2012-12-02 18:00:00,Affluent,ToU,486,1.25433676965
256,2012-12-02 18:00:00,Comfortable,Std,1174,0.927075507133
257,2012-12-02 18:00:00,Comfortable,ToU,322,0.847323680105
258,2012-12-02 19:00:00,Adversity,Std,1506,0.74502471254
259,2012-12-02 19:00:00,Adversity,ToU,296,0.72775548884
260,2012-12-02 19:00:00,Affluent,Std,1692,1.28072326696
261,2012-12-02 19:00:00,Affluent,ToU,486,1.21122625084
262,2012-12-02 19:00:00,Comfortable,Std,1174,0.98104071465
263,2012-12-02 19:00:00,Comfortable,ToU,322,0.819717227364
264,2012-12-02 20:00:00,Adversity,Std,1506,0.697235319926
265,2012-12-02 20:00:00,Adversity,ToU,296,0.65158971739
266,2012-12-02 20:00:00,Affluent,Std,1692,1.19539450218
267,2012-12-02 20:00:00,Affluent,ToU,486,1.20232183352
268,2012-12-02 20:00:00,Comfortable,Std,1174,0.894574392919
269,2012-12-02 20:00:00,Comfortable,ToU,322,0.767114609045
270,2012-12-02 21:00:00,Adversity,Std,1506,0.639216447759
271,2012-12-02 21:00:00,Adversity,ToU,296,0.615926766385
272,2012-12-02 21:00:00,Affluent,Std,1692,1.14159252111
273,2012-12-02 21:00:00,Affluent,ToU,486,1.09812037028
274,2012-12-02 21:00:00,Comfortable,Std,1174,0.815226081991
275,2012-12-02 21:00:00,Comfortable,ToU,322,0.728026938734
276,2012-12-02 22:00:00,Adversity,Std,1507,0.581646188913
277,2012-12-02 22:00:00,Adversity,ToU,296,0.552485906655
278,2012-12-02 22:00:00,Affluent,Std,1692,0.986290195134
279,2012-12-02 22:00:00,Affluent,ToU,486,0.999257081239
280,2012-12-02 22:00:00,Comfortable,Std,1174,0.741472646811
281,2012-12-02 22:00:00,Comfortable,ToU,322,0.67206574848
282,2012-12-02 23:00:00,Adversity,Std,1507,0.489906031429
283,2012-12-02 23:00:00,Adversity,ToU,296,0.493866244492
284,2012-12-02 23:00:00,Affluent,Std,1692,0.803021648004
285,2012-12-02 23:00:00,Affluent,ToU,486,0.852949605879
286,2012-12-02 23:00:00,Comfortable,Std,1174,0.628684831183
287,2012-12-02 23:00:00,Comfortable,ToU,322,0.583921787245
288,2012-12-03 00:00:00,Adversity,Std,1507,0.367753052372
289,2012-12-03 00:00:00,Adversity,ToU,296,0.369615117616
290,2012-12-03 00:00:00,Affluent,Std,1691,0.569491114099
291,2012-12-03 00:00:00,Affluent,ToU,486,0.560273832579
292,2012-12-03 00:00:00,Comfortable,Std,1174,0.445027873761
293,2012-12-03 00:00:00,Comfortable,ToU,322,0.398418058788
294,2012-12-03 01:00:00,Adversity,Std,1507,0.439345287093
295,2012-12-03 01:00:00,Adversity,ToU,296,0.28357690527
296,2012-12-03 01:00:00,Affluent,Std,1691,0.447416167908
297,2012-12-03 01:00:00,Affluent,ToU,486,0.417397404296
298,2012-12-03 01:00:00,Comfortable,Std,1174,0.502374580271
299,2012-12-03 01:00:00,Comfortable,ToU,322,0.29551758781
300,2012-12-03 02:00:00,Adversity,Std,1507,0.350884290428
301,2012-12-03 02:00:00,Adversity,ToU,296,0.222507780106
302,2012-12-03 02:00:00,Affluent,Std,1691,0.380191319395
303,2012-12-03 02:00:00,Affluent,ToU,486,0.343984474746
304,2012-12-03 02:00:00,Comfortable,Std,1174,0.390563794497
305,2012-12-03 02:00:00,Comfortable,ToU,322,0.240119216541
306,2012-12-03 03:00:00,Adversity,Std,1507,0.295560487067
307,2012-12-03 03:00:00,Adversity,ToU,296,0.201789123246
308,2012-12-03 03:00:00,Affluent,Std,1691,0.344634347601
309,2012-12-03 03:00:00,Affluent,ToU,486,0.294838445592
310,2012-12-03 03:00:00,Comfortable,Std,1174,0.31417489416
311,2012-12-03 03:00:00,Comfortable,ToU,322,0.222587309213
312,2012-12-03 04:00:00,Adversity,Std,1507,0.257537754379
