DateTime,Acorn_grouped,stdorToU,N,nrg_cons
2011-12-02 23:00:00,Adversity,Std,21,0.630091654166
2011-12-02 23:00:00,Adversity,ToU,4,0.672
2011-12-02 23:00:00,Affluent,Std,28,0.647925925926
2011-12-02 23:00:00,Affluent,ToU,6,0.23725
2011-12-02 23:00:00,Comfortable,Std,37,0.47568172043
2011-12-02 23:00:00,Comfortable,ToU,4,0.396833333334
2011-12-03 00:00:00,Adversity,Std,21,0.274008333333
2011-12-03 00:00:00,Adversity,ToU,4,0.621333333333
2011-12-03 00:00:00,Affluent,Std,28,0.440277777777
2011-12-03 00:00:00,Affluent,ToU,6,0.2105
2011-12-03 00:00:00,Comfortable,Std,37,0.303101075269
2011-12-03 00:00:00,Comfortable,ToU,4,0.241833333334
2011-12-03 01:00:00,Adversity,Std,21,0.259841666666
2011-12-03 01:00:00,Adversity,ToU,4,0.48
2011-12-03 01:00:00,Affluent,Std,29,0.538821426786
2011-12-03 01:00:00,Affluent,ToU,6,0.171
2011-12-03 01:00:00,Comfortable,Std,37,0.201658064516
2011-12-03 01:00:00,Comfortable,ToU,4,0.276833333333
2011-12-03 02:00:00,Adversity,Std,21,0.208833333333
2011-12-03 02:00:00,Adversity,ToU,4,0.489666666667
2011-12-03 02:00:00,Affluent,Std,29,0.416946428571
2011-12-03 02:00:00,Affluent,ToU,6,0.173
2011-12-03 02:00:00,Comfortable,Std,37,0.231619354839
2011-12-03 02:00:00,Comfortable,ToU,4,0.214166666667
2011-12-03 03:00:00,Adversity,Std,21,0.3633
2011-12-03 03:00:00,Adversity,ToU,4,0.484333333333
2011-12-03 03:00:00,Affluent,Std,29,0.419214283928
2011-12-03 03:00:00,Affluent,ToU,6,0.1085
2011-12-03 03:00:00,Comfortable,Std,37,0.152133333333
2011-12-03 03:00:00,Comfortable,ToU,4,0.158833333334
2011-12-03 04:00:00,Adversity,Std,21,0.143541666667
2011-12-03 04:00:00,Adversity,ToU,4,0.4875
2011-12-03 04:00:00,Affluent,Std,29,0.399482144643
2011-12-03 04:00:00,Affluent,ToU,6,0.12325
2011-12-03 04:00:00,Comfortable,Std,37,0.145156989247
2011-12-03 04:00:00,Comfortable,ToU,4,0.112
2011-12-03 05:00:00,Adversity,Std,21,0.136966666667
2011-12-03 05:00:00,Adversity,ToU,4,0.474833333333
2011-12-03 05:00:00,Affluent,Std,29,0.365875
2011-12-03 05:00:00,Affluent,ToU,6,0.1325
2011-12-03 05:00:00,Comfortable,Std,37,0.187131182796
2011-12-03 05:00:00,Comfortable,ToU,4,0.110333333333
2011-12-03 06:00:00,Adversity,Std,21,0.149283333333
2011-12-03 06:00:00,Adversity,ToU,4,0.482333333333
2011-12-03 06:00:00,Affluent,Std,29,0.334482142857
2011-12-03 06:00:00,Affluent,ToU,6,0.128625
2011-12-03 06:00:00,Comfortable,Std,37,0.186978494624
2011-12-03 06:00:00,Comfortable,ToU,4,0.17
2011-12-03 07:00:00,Adversity,Std,21,0.178891666666
2011-12-03 07:00:00,Adversity,ToU,4,0.433166666667
2011-12-03 07:00:00,Affluent,Std,29,0.391482142857
2011-12-03 07:00:00,Affluent,ToU,6,0.127875
2011-12-03 07:00:00,Comfortable,Std,37,0.244913978495
2011-12-03 07:00:00,Comfortable,ToU,4,0.1785
2011-12-03 08:00:00,Adversity,Std,21,0.329566666667
2011-12-03 08:00:00,Adversity,ToU,4,0.509333333333
2011-12-03 08:00:00,Affluent,Std,29,0.520607142857
2011-12-03 08:00:00,Affluent,ToU,6,0.139625
2011-12-03 08:00:00,Comfortable,Std,37,0.266040860215
2011-12-03 08:00:00,Comfortable,ToU,4,0.190666666667
2011-12-03 09:00:00,Adversity,Std,20,0.711554630357
2011-12-03 09:00:00,Adversity,ToU,4,0.624333333333
2011-12-03 09:00:00,Affluent,Std,30,0.578010120238
2011-12-03 09:00:00,Affluent,ToU,6,0.247
2011-12-03 09:00:00,Comfortable,Std,37,0.293477419355
2011-12-03 09:00:00,Comfortable,ToU,4,0.245333333334
2011-12-03 10:00:00,Adversity,Std,20,0.36575
2011-12-03 10:00:00,Adversity,ToU,4,0.561333333333
