,DateTime,Adversity,Affluent,Comfortable,Overall
1962,2012-03-22 18:00:00,0.467133802465,0.487527687296,0.496121339331,0.484240105541
1963,2012-03-22 19:00:00,0.536204225,0.683770358144,0.603866108787,0.630115215304
1964,2012-03-22 20:00:00,0.559102113029,0.773454396906,0.641506276151,0.692177660335
1965,2012-03-22 21:00:00,0.508693661972,0.72103420228,0.605828451882,0.643779243799
1966,2012-03-22 22:00:00,0.467866197183,0.685503310265,0.542243697479,0.600330372469
1967,2012-03-22 23:00:00,0.408151407395,0.574231647798,0.462255230126,0.509153168838
1968,2012-03-23 00:00:00,0.313169014085,0.447656351955,0.355054393305,0.394598944679
1969,2012-03-23 01:00:00,0.607598589437,0.48060586189,0.461866109205,0.508386982146
1970,2012-03-23 02:00:00,0.449419013029,0.381995112541,0.330255229289,0.387960420933
1971,2012-03-23 03:00:00,0.31787323838,0.326615634853,0.242514643933,0.306753737379
1972,2012-03-23 04:00:00,0.262144366549,0.2845,0.220326360251,0.265426561302
1973,2012-03-23 05:00:00,0.213584507394,0.288630293648,0.220995815481,0.255668425945
1974,2012-03-23 06:00:00,0.233355634155,0.319885993485,0.25388702887,0.284399296394
1975,2012-03-23 07:00:00,0.337774647887,0.424053746091,0.322489539331,0.381153913808
1976,2012-03-23 08:00:00,0.404250001056,0.503671009609,0.374732217573,0.451734388918
1977,2012-03-23 09:00:00,0.414073944014,0.480530944625,0.398062240249,0.446510974539
1978,2012-03-23 10:00:00,0.325391608042,0.441350080713,0.394770491803,0.402527462685
1979,2012-03-23 11:00:00,0.345885016725,0.426148148471,0.382230768421,0.396812121039
1980,2012-03-23 12:00:00,0.334169550173,0.418856683414,0.38838461498,0.391197925929
1981,2012-03-23 13:00:00,0.34400344862,0.42659069069,0.350194331984,0.389676724483
1982,2012-03-23 14:00:00,0.30921232911,0.4116191992,0.329670682731,0.368473413036
1983,2012-03-23 15:00:00,0.315608843538,0.375855095701,0.333040160241,0.351625106747
1984,2012-03-23 16:00:00,0.326189830169,0.368882352306,0.326072288755,0.349057970503
1985,2012-03-23 17:00:00,0.348410169153,0.422625396349,0.390100402008,0.39707836431
1986,2012-03-23 18:00:00,0.450501694576,0.47982380873,0.520927710442,0.48117376431
1987,2012-03-23 19:00:00,0.527233898305,0.664400000794,0.635457831325,0.623794719336
1988,2012-03-23 20:00:00,0.514576271525,0.758915873175,0.644481927309,0.673247870613
1989,2012-03-23 21:00:00,0.505545762712,0.716611110794,0.589337348996,0.636580919677
1990,2012-03-23 22:00:00,0.490342372881,0.677699999524,0.509349397992,0.594914820954
1991,2012-03-23 23:00:00,0.433549152203,0.567763491428,0.443983935341,0.507785348722
1992,2012-03-24 00:00:00,0.37687457661,0.465787301111,0.363100401607,0.421666098637
1993,2012-03-24 01:00:00,0.595118648136,0.51657619127,0.455771082731,0.523415674021
1994,2012-03-24 02:00:00,0.399986440678,0.370422222063,0.321204818876,0.367412265588
1995,2012-03-24 03:00:00,0.292881354915,0.300079365238,0.249903614859,0.287628620017
1996,2012-03-24 04:00:00,0.241935592542,0.274979364921,0.225497991566,0.256181430664
1997,2012-03-24 05:00:00,0.226928812543,0.267336507937,0.224654618474,0.248130323425
1998,2012-03-24 06:00:00,0.236776271525,0.28158888873,0.229831324899,0.259350936882
1999,2012-03-24 07:00:00,0.249681356271,0.330038095238,0.289710842972,0.301293015332
2000,2012-03-24 08:00:00,0.304935592543,0.37486031746,0.331815261044,0.348160136116
2001,2012-03-24 09:00:00,0.394952541356,0.471193344057,0.433112450201,0.443982127574
2002,2012-03-24 10:00:00,0.38635016835,0.494492868463,0.465835341365,0.461141886151
2003,2012-03-24 11:00:00,0.466909089899,0.442713152932,0.4238080008,0.444801357725
2004,2012-03-24 12:00:00,0.396255033222,0.413633914263,0.415828685259,0.409711864237
