DateTime,Acorn_grouped,N,nrg_cons
2012-01-05 23:00:00,Comfortable,116,0.487301724138
2012-01-06 00:00:00,Adversity,127,0.414472440945
2012-01-06 00:00:00,Affluent,172,0.624494182558
2012-01-06 00:00:00,Comfortable,116,0.410862068104
2012-01-06 01:00:00,Adversity,128,0.479539063281
2012-01-06 01:00:00,Affluent,172,0.646139536628
2012-01-06 01:00:00,Comfortable,116,0.340767242241
2012-01-06 02:00:00,Adversity,128,0.392460938281
2012-01-06 02:00:00,Affluent,172,0.48960465
2012-01-06 02:00:00,Comfortable,116,0.280681036207
2012-01-06 03:00:00,Adversity,128,0.324179689063
2012-01-06 03:00:00,Affluent,172,0.420098834884
2012-01-06 03:00:00,Comfortable,116,0.23000862069
2012-01-06 04:00:00,Adversity,127,0.281818899213
2012-01-06 04:00:00,Affluent,172,0.374802326162
2012-01-06 04:00:00,Comfortable,116,0.196
2012-01-06 05:00:00,Adversity,128,0.301101563281
2012-01-06 05:00:00,Affluent,172,0.345325581396
2012-01-06 05:00:00,Comfortable,116,0.225939656034
2012-01-06 06:00:00,Adversity,128,0.331070314063
2012-01-06 06:00:00,Affluent,172,0.383372091279
2012-01-06 06:00:00,Comfortable,116,0.264456897414
2012-01-06 07:00:00,Adversity,127,0.437251970078
2012-01-06 07:00:00,Affluent,172,0.464767441279
2012-01-06 07:00:00,Comfortable,116,0.342353447414
2012-01-06 08:00:00,Adversity,128,0.590390624219
2012-01-06 08:00:00,Affluent,172,0.488808137791
2012-01-06 08:00:00,Comfortable,116,0.444439655172
2012-01-06 09:00:00,Adversity,128,0.5134921875
2012-01-06 09:00:00,Affluent,172,0.520534885465
2012-01-06 09:00:00,Comfortable,116,0.489689655172
2012-01-06 10:00:00,Adversity,129,0.472224805426
2012-01-06 10:00:00,Affluent,172,0.469197673837
2012-01-06 10:00:00,Comfortable,116,0.428698274138
2012-01-06 11:00:00,Adversity,129,0.469170542636
2012-01-06 11:00:00,Affluent,173,0.549034681503
2012-01-06 11:00:00,Comfortable,116,0.429974137931
2012-01-06 12:00:00,Adversity,129,0.466744185271
2012-01-06 12:00:00,Affluent,173,0.501317919075
2012-01-06 12:00:00,Comfortable,116,0.41100862069
2012-01-06 13:00:00,Adversity,129,0.472612403101
2012-01-06 13:00:00,Affluent,173,0.541098265896
2012-01-06 13:00:00,Comfortable,116,0.38550862069
2012-01-06 14:00:00,Adversity,129,0.436852713954
2012-01-06 14:00:00,Affluent,173,0.544982658959
2012-01-06 14:00:00,Comfortable,116,0.401982758621
2012-01-06 15:00:00,Adversity,129,0.464860465116
2012-01-06 15:00:00,Affluent,173,0.595554913873
2012-01-06 15:00:00,Comfortable,116,0.365137931034
2012-01-06 16:00:00,Adversity,128,0.509179689063
2012-01-06 16:00:00,Affluent,173,0.617780345665
2012-01-06 16:00:00,Comfortable,116,0.469155173276
2012-01-06 17:00:00,Adversity,129,0.686620157365
2012-01-06 17:00:00,Affluent,173,0.766543351446
2012-01-06 17:00:00,Comfortable,116,0.530060345689
2012-01-06 18:00:00,Adversity,129,0.777503875969
2012-01-06 18:00:00,Affluent,173,0.869572257225
2012-01-06 18:00:00,Comfortable,116,0.666301722414
2012-01-06 19:00:00,Adversity,129,0.729860465891
2012-01-06 19:00:00,Affluent,173,1.03383815434
2012-01-06 19:00:00,Comfortable,116,0.714793106035
2012-01-06 20:00:00,Adversity,129,0.751139533333
2012-01-06 20:00:00,Affluent,173,0.951676299999
2012-01-06 20:00:00,Comfortable,116,0.716905172414
2012-01-06 21:00:00,Adversity,129,0.718511628682
2012-01-06 21:00:00,Affluent,173,0.878485548555
2012-01-06 21:00:00,Comfortable,116,0.652344828448
2012-01-06 22:00:00,Adversity,129,0.683317831008
