MAC003640,Std,12/3/13 7:00,0.349,ACORN-L,Adversity
MAC003640,Std,12/3/13 7:30,0.159,ACORN-L,Adversity
MAC003640,Std,12/3/13 8:00,0.115,ACORN-L,Adversity
MAC003640,Std,12/3/13 8:30,0.11,ACORN-L,Adversity
MAC003640,Std,12/3/13 9:00,0.12,ACORN-L,Adversity
MAC003640,Std,12/3/13 9:30,0.347,ACORN-L,Adversity
MAC003640,Std,12/3/13 10:00,0.269,ACORN-L,Adversity
MAC003640,Std,12/3/13 10:30,0.433,ACORN-L,Adversity
MAC003640,Std,12/3/13 11:00,0.602,ACORN-L,Adversity
MAC003640,Std,12/3/13 11:30,1.373,ACORN-L,Adversity
MAC003640,Std,12/3/13 12:00,1.234,ACORN-L,Adversity
MAC003640,Std,12/3/13 12:30,1.21,ACORN-L,Adversity
MAC003640,Std,12/3/13 13:00,1.2180001,ACORN-L,Adversity
MAC003640,Std,12/3/13 13:30,1.234,ACORN-L,Adversity
MAC003640,Std,12/3/13 14:00,1.263,ACORN-L,Adversity
MAC003640,Std,12/3/13 14:30,0.935,ACORN-L,Adversity
MAC003640,Std,12/3/13 15:00,0.276,ACORN-L,Adversity
MAC003640,Std,12/3/13 15:30,0.392,ACORN-L,Adversity
MAC003640,Std,12/3/13 16:00,0.353,ACORN-L,Adversity
MAC003640,Std,12/3/13 16:30,0.326,ACORN-L,Adversity
MAC003640,Std,12/3/13 17:00,0.368,ACORN-L,Adversity
MAC003640,Std,12/3/13 17:30,0.371,ACORN-L,Adversity
MAC003640,Std,12/3/13 18:00,0.378,ACORN-L,Adversity
MAC003640,Std,12/3/13 18:30,0.418,ACORN-L,Adversity
MAC003640,Std,12/3/13 19:00,0.572,ACORN-L,Adversity
MAC003640,Std,12/3/13 19:30,0.391,ACORN-L,Adversity
MAC003640,Std,12/3/13 20:00,0.302,ACORN-L,Adversity
MAC003640,Std,12/3/13 20:30,0.26,ACORN-L,Adversity
MAC003640,Std,12/3/13 21:00,0.95,ACORN-L,Adversity
MAC003640,Std,12/3/13 21:30,0.423,ACORN-L,Adversity
MAC003640,Std,12/3/13 22:00,0.399,ACORN-L,Adversity
MAC003640,Std,12/3/13 22:30,0.355,ACORN-L,Adversity
MAC003640,Std,12/3/13 23:00,0.159,ACORN-L,Adversity
MAC003640,Std,12/3/13 23:30,0.232,ACORN-L,Adversity
MAC003640,Std,12/4/13 0:00,0.381,ACORN-L,Adversity
MAC003640,Std,12/4/13 0:30,0.359,ACORN-L,Adversity
MAC003640,Std,12/4/13 1:00,0.386,ACORN-L,Adversity
MAC003640,Std,12/4/13 1:30,0.137,ACORN-L,Adversity
MAC003640,Std,12/4/13 2:00,0.12,ACORN-L,Adversity
MAC003640,Std,12/4/13 2:30,0.161,ACORN-L,Adversity
MAC003640,Std,12/4/13 3:00,0.151,ACORN-L,Adversity
MAC003640,Std,12/4/13 3:30,0.125,ACORN-L,Adversity
MAC003640,Std,12/4/13 4:00,0.116,ACORN-L,Adversity
MAC003640,Std,12/4/13 4:30,0.112,ACORN-L,Adversity
MAC003640,Std,12/4/13 5:00,0.111,ACORN-L,Adversity
